frame,frame_ms,render_ms,input_ms,movement_ms,npc_ms,combat_ms,animation_ms,npcs,corpses,drops,avatar_moved
264,29.510,12.666,0.000,0.002,0.031,0.002,0.001,60,0,6,false
265,28.062,12.435,0.000,0.002,0.026,0.002,0.002,60,0,6,false
266,29.993,14.570,0.000,0.001,0.024,0.002,0.001,60,0,6,false
267,28.192,12.598,0.000,0.002,0.038,0.003,0.001,60,0,6,false
268,28.015,12.385,0.008,0.013,0.025,0.003,0.001,60,0,6,true
269,27.970,12.382,0.000,0.002,0.024,0.002,0.001,60,0,6,false
270,27.939,12.425,0.000,0.010,0.024,0.002,0.001,60,0,6,true
271,27.966,12.581,0.005,0.007,0.023,0.002,0.001,60,0,6,true
272,27.602,12.474,0.000,0.001,0.023,0.002,0.001,60,0,6,false
273,27.613,12.404,0.000,0.019,0.023,0.002,0.001,60,0,6,true
274,28.013,12.190,0.000,0.001,0.032,0.002,0.001,60,0,6,false
275,27.203,12.093,0.000,0.013,0.024,0.002,0.001,60,0,6,true
276,28.329,12.546,0.000,0.001,0.021,0.002,0.001,60,0,6,false
277,27.748,12.296,0.000,0.007,0.022,0.002,0.001,60,0,6,true
278,27.634,12.321,0.000,0.001,0.023,0.002,0.001,60,0,6,false
279,27.959,12.057,0.000,0.001,0.022,0.002,0.001,60,0,6,false
280,29.024,12.129,0.000,0.001,0.024,0.002,0.001,60,0,6,false
281,27.625,12.049,0.000,0.001,0.025,0.002,0.001,60,0,6,false
282,29.055,12.432,0.000,0.002,0.023,0.002,0.001,60,0,6,false
283,27.849,12.300,0.000,0.001,0.022,0.002,0.001,60,0,6,false
284,28.065,12.174,0.000,0.002,0.025,0.002,0.001,60,0,6,false
285,27.339,12.105,0.000,0.002,0.025,0.002,0.001,60,0,6,false
286,29.093,12.170,0.000,0.001,0.022,0.004,0.001,60,0,6,false
287,27.896,12.094,0.000,0.001,0.022,0.002,0.001,60,0,6,false
288,27.785,12.071,0.000,0.001,0.024,0.002,0.001,60,0,6,false
289,28.216,12.211,0.001,0.001,0.022,0.002,0.001,60,0,6,false
290,27.821,12.249,0.000,0.001,0.020,0.002,0.001,60,0,6,false
291,27.527,12.256,0.000,0.002,0.022,0.002,0.001,60,0,6,false
292,28.121,12.219,0.000,0.002,0.021,0.002,0.001,60,0,6,false
293,28.519,12.871,0.000,0.001,0.021,0.002,0.002,60,0,6,false
294,30.003,14.533,0.000,0.001,0.020,0.002,0.001,60,0,6,false
295,29.900,14.387,0.000,0.001,0.021,0.002,0.001,60,0,6,false
296,27.340,12.193,0.000,0.001,0.022,0.002,0.001,60,0,6,false
297,28.032,12.150,0.000,0.001,0.022,0.002,0.001,60,0,6,false
298,28.439,12.651,0.000,0.001,0.027,0.002,0.001,60,0,6,false
299,30.952,15.172,0.000,0.001,0.030,0.002,0.001,60,0,6,false
300,28.358,12.352,0.000,0.001,0.027,0.002,0.001,60,0,6,false
301,28.313,12.361,0.000,0.001,0.022,0.002,0.002,60,0,6,false
302,30.548,14.846,0.001,0.004,0.025,0.002,0.001,60,0,6,false
303,30.224,14.511,0.001,0.002,0.035,0.003,0.001,60,0,6,false
304,29.975,14.540,0.000,0.002,0.033,0.003,0.001,60,0,6,false
305,27.550,12.325,0.000,0.001,0.024,0.002,0.001,60,0,6,false
306,27.449,12.355,0.008,0.017,0.025,0.002,0.001,60,0,6,true
307,27.582,12.158,0.000,0.001,0.022,0.002,0.001,60,0,6,false
308,28.024,12.223,0.000,0.001,0.022,0.002,0.001,60,0,6,false
309,28.274,12.236,0.000,0.001,0.023,0.002,0.002,60,0,6,false
310,31.295,14.413,0.000,0.001,0.021,0.002,0.001,60,0,6,false
311,28.829,13.416,0.000,0.001,0.021,0.002,0.001,60,0,6,false
312,27.440,11.983,0.000,0.001,0.024,0.002,0.001,60,0,6,false
313,27.291,12.047,0.000,0.002,0.023,0.002,0.001,60,0,6,false
314,27.721,11.948,0.000,0.001,0.049,0.002,0.001,60,0,6,false
315,27.235,12.139,0.000,0.002,0.046,0.002,0.001,60,0,6,false
316,28.013,12.086,0.000,0.001,0.044,0.002,0.001,60,0,6,false
317,27.856,12.261,0.000,0.001,0.072,0.002,0.001,60,0,6,false
318,27.649,12.243,0.000,0.002,0.042,0.002,0.001,60,0,6,false
319,28.026,12.240,0.000,0.001,0.018,0.002,0.001,60,0,6,false
320,29.037,12.261,0.000,0.001,0.019,0.002,0.002,60,0,6,false
321,30.274,14.521,0.000,0.001,0.019,0.002,0.001,60,0,6,false
322,30.031,14.268,0.000,0.001,0.018,0.002,0.001,60,0,6,false
323,31.150,14.381,0.000,0.001,0.019,0.002,0.001,60,0,6,false
324,29.359,14.257,0.000,0.001,0.017,0.002,0.001,60,0,6,false
325,27.942,12.235,0.000,0.001,0.018,0.002,0.001,60,0,6,false
326,27.916,12.135,0.000,0.001,0.017,0.002,0.001,60,0,6,false
327,27.776,12.053,0.000,0.001,0.017,0.002,0.001,60,0,6,false
328,28.017,12.163,0.000,0.001,0.021,0.002,0.001,60,0,6,false
329,29.004,12.086,0.000,0.001,0.019,0.002,0.001,60,0,6,false
330,29.698,14.270,0.000,0.001,0.017,0.002,0.001,60,0,6,false
331,27.261,12.018,0.000,0.004,0.018,0.002,0.001,60,0,6,false
332,27.346,12.218,0.000,0.001,0.017,0.002,0.001,60,0,6,false
333,27.492,12.183,0.000,0.002,0.019,0.002,0.001,60,0,6,false
334,28.005,12.144,0.000,0.001,0.018,0.003,0.001,60,0,6,false
335,28.046,12.302,0.001,0.002,0.026,0.003,0.001,60,0,6,false
336,28.810,13.294,0.000,0.001,0.043,0.002,0.001,60,0,6,false
337,28.012,12.151,0.000,0.001,0.036,0.005,0.001,60,0,6,false
338,28.318,12.778,0.000,0.001,0.023,0.003,0.001,60,0,6,false
339,28.019,12.199,0.000,0.001,0.021,0.003,0.001,60,0,6,false
340,28.014,12.282,0.000,0.002,0.030,0.004,0.002,60,0,6,false
341,29.715,14.536,0.000,0.001,0.022,0.003,0.001,60,0,6,false
342,27.696,12.215,0.007,0.013,0.026,0.003,0.001,60,0,6,true
343,27.989,12.162,0.000,0.002,0.017,0.002,0.001,60,0,6,false
344,28.184,12.229,0.001,0.007,0.022,0.002,0.001,60,0,6,true
345,27.073,12.039,0.000,0.001,0.018,0.004,0.001,60,0,6,false
346,27.944,11.941,0.000,0.007,0.019,0.002,0.001,60,0,6,true
347,27.013,11.927,0.000,0.002,0.017,0.002,0.001,60,0,6,false
348,29.535,14.372,0.000,0.007,0.029,0.002,0.001,60,0,6,true
349,28.182,11.864,0.000,0.001,0.020,0.002,0.001,60,0,6,false
350,28.019,12.171,0.000,0.001,0.030,0.002,0.001,60,0,6,false
351,31.340,14.425,0.000,0.001,0.026,0.002,0.001,60,0,6,false
352,31.054,14.430,0.000,0.001,0.019,0.002,0.001,60,0,6,false
353,30.002,14.333,0.000,0.001,0.022,0.002,0.001,60,0,6,false
354,29.541,14.111,0.000,0.001,0.019,0.002,0.001,60,0,6,false
355,27.784,12.040,0.000,0.001,0.019,0.002,0.001,60,0,6,false
356,27.022,11.840,0.000,0.002,0.020,0.002,0.001,60,0,6,false
357,28.785,11.909,0.000,0.001,0.018,0.002,0.001,60,0,6,false
358,29.273,14.041,0.000,0.001,0.018,0.002,0.001,60,0,6,false
359,27.326,12.030,0.000,0.002,0.044,0.002,0.001,60,0,6,false
360,27.391,11.975,0.000,0.001,0.051,0.002,0.001,60,0,6,false
361,28.415,12.575,0.000,0.001,0.030,0.002,0.001,60,0,6,false
